INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Palladium Technical Academy Inc,Temple City,CA,91780,-2,1,-118.04358,34.091838
Los Angeles College of Aesthetics,Los Angeles,CA,90006,-2,1,-118.309491,34.044739
National Polytechnic College,Lakewood,CA,90712,1,1,-118.143809,33.860528
American Career College-Ontario,Ontario,CA,91764,2,2,-117.583814,34.068204
Asher College,Sacramento,CA,95825,2,1,-121.415767,38.587784
American Institute of Massage Therapy,Santa Ana,CA,92705-5411,-2,1,-117.847971,33.713238
University of East-West Medicine,Sunnyvale,CA,94085-3922,1,1,-121.997011,37.3864
Blake Austin College,Vacaville,CA,95688,-2,1,-121.983781,38.353851
Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,34946,1,1,-80.367303,27.48718
Trendsetters School of Beauty & Barbering,Jacksonville,FL,32205,-2,1,-81.741549,30.30832
American Institute of Beauty,Largo,FL,33771,-2,1,-82.749094,27.915072
North Florida Cosmetology Institute,Tallahassee,FL,32312,-2,1,-84.294583,30.476972
Florida Academy of Health & Beauty,Oakland Park,FL,33311,-2,1,-80.181569,26.16627
Augusta School of Massage,Evans,GA,30809,-2,1,-82.135503,33.529159
ATA College,Louisville,KY,40223,1,1,-85.563365,38.223667
SUM Bible College and Theological Seminary,El Dorado Hills,CA,95762,2,1,-121.054758,38.620833
Compass Career College,Hammond,LA,70403,-2,1,-90.479356,30.476327
Hair Expressions Academy,Rockville,MD,20852,-2,1,-77.115852,39.061372
Nuvo College of Cosmetology,Norton Shores,MI,49441,-2,1,-86.266315,43.190304
WellSpring School of Allied Health-Kansas City,Kansas City,MO,64114-3313,1,1,-94.604997,38.963226
The Salon Professional Academy-Fargo,Fargo,ND,58103,-2,1,-96.858729,46.859013
Aveda Arts & Sciences Institute-New York,New York,NY,10013,-2,1,-74.00497,40.725861
MyrAngel Beauty Institute,San Lorenzo,PR,754,-2,1,-65.961757,18.188811
Texas Health School,Houston,TX,77079,-2,1,-95.586269,29.783709
Paul Mitchell the School-Logan,Logan,UT,84341,-2,1,-111.83008,41.754419
Careers Unlimited,Orem,UT,84058,1,1,-111.731006,40.275775
Mountainland Technical College,Lehi,UT,84043,-2,2,-111.886031,40.419941
Avi Career Training,Great Falls,VA,22066,-2,1,-77.296823,38.974295
Mountain State School of Massage,Charleston,WV,25304,-2,1,-81.579417,38.317659
Arkansas State University System,Little Rock,AR,72201,-2,-2,-92.28758,34.74582
San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,95670-5642,1,1,-121.28191,38.595187
San Joaquin Valley College-Central Administrative Office,Visalia,CA,93277,-2,-2,-119.333362,36.298938
Broken Arrow Beauty College,Broken Arrow,OK,74012,-2,1,-95.797013,36.029773
Universal Technical Institute of Northern California Inc,Sacramento,CA,95834,2,2,-121.529503,38.64575
Lemoore College,Lemoore,CA,93245,3,2,-119.823866,36.292431
Stautzenberger College-Brecksville,Brecksville,OH,44141,1,1,-81.645056,41.288862
West Hills Community College District,Coalinga,CA,93210,-2,-2,-120.351047,36.153306
Unitech Training Academy-Houma,Houma,LA,70364,-2,1,-90.75482,29.633202
Rasmussen University-Illinois,Rockford,IL,61108-2513,3,2,-88.998854,42.267628
International Institute for Restorative Practices,Bethlehem,PA,18018,1,1,-75.382203,40.621324
Automotive Training Center-Warminster,Warminster,PA,18974,-2,1,-75.075375,40.200656
Empire Beauty School-Milwaukee,Milwaukee,WI,53221,-2,1,-87.950452,42.94256
Triangle Tech Inc-Bethlehem,Bethlehem,PA,18017,1,1,-75.428281,40.65445
Milan Institute-Clovis,Clovis,CA,93612,-2,1,-119.725573,36.810625
Strayer University-Florida,Tampa,FL,33610,2,2,-82.35991,27.997442
Pima Medical Institute-Renton,Renton,WA,98057,2,1,-122.211383,47.469017
CBT Technology Institute-Main Campus,Miami,FL,33144,1,1,-80.329161,25.769052
CBT Technology Institute-Hialeah,Hialeah,FL,33012,1,1,-80.302213,25.867003
Dewey University-Juana Díaz,Juana Diaz,PR,910,1,1,-66.509285,18.057023
The College of Health Care Professions-San Antonio,San Antonio,TX,78229,2,1,-98.576627,29.488876
Brittany Beauty Academy,Bronx,NY,10458,-2,1,-73.897121,40.860976
Lincoln Technical Institute-Whitestone,Whitestone,NY,11357,-2,2,-73.82885,40.784113
American Public University System,Charles Town,WV,25414,5,5,-77.860121,39.287826
Huntsville Bible College,Huntsville,AL,35811,1,1,-86.594888,34.750363
Beaumont Adult School,Beaumont,CA,92223,-2,1,-116.964728,33.951365
Gnomon,North Hollywood,CA,91606-3324,2,1,-118.394477,34.181916
Coachella Valley Beauty College,La Quinta,CA,92253,-2,1,-116.278254,33.708193
Valley College of Medical Careers,West Hills,CA,91304,1,1,-118.606731,34.221839
Academy of Natural Therapy Inc,Greeley,CO,80631-9441,-2,1,-104.691075,40.426259
Academy Di Capelli-School of Cosmetology,Wallingford,CT,6492,-2,1,-72.806335,41.490402
Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939,-2,1,-75.256051,38.541187
Dragon Rises College of Oriental Medicine,Bradenton,FL,34207,1,1,-82.575135,27.419641
Palm Beach Academy of Health & Beauty,West Palm Beach,FL,33415-2904,-2,1,-80.115507,26.63948
SABER College,Miami,FL,33134,1,1,-80.261299,25.771518
Taylor College,Ocala,FL,34470,1,1,-82.102824,29.189031
Pensacola School of Massage Therapy & Health Careers,Pensacola,FL,32504,-2,1,-87.195529,30.494755
Ideal Beauty Academy,Jeffersonville,IN,47130,-2,-2,-85.730456,38.288401
Denmark College,Merrillville,IN,46410,-2,1,-87.357915,41.469921
Louisiana Culinary Institute,Baton Rouge,LA,70816,1,1,-91.066085,30.409979
Bais Medrash Toras Chesed,Lakewood,NJ,8701,1,1,-74.21127,40.099704
Ace Institute of Technology,New York,NY,10018,-2,1,-73.993385,40.753658
New Age Training,New York,NY,10001-4034,-2,1,-73.991591,40.748345
Dayton School of Medical Massage,Dayton,OH,45429,-2,1,-84.168901,39.682932
ATA College,Tulsa,OK,74146,1,1,-95.853281,36.097005
Visible Music College,Memphis,TN,38103,1,1,-90.049381,35.144586
CCI Training Center-Arlington,Arlington,TX,76011,-2,1,-97.101289,32.755006
Champion Beauty College,Houston,TX,77069,-2,1,-95.489161,29.99352
Southeast Texas Career Institute,Silsbee,TX,77656,-2,1,-94.169885,30.341896
Southwest Technical College,Cedar City,UT,84720,-2,1,-113.069916,37.664147
Virginia Beach Theological Seminary,Virginia Beach,VA,23464-6847,1,1,-76.189475,36.765993
Milwaukee Career College,Milwaukee,WI,53222,1,1,-88.048714,43.074192
University of the West,Rosemead,CA,91770,1,1,-118.082964,34.045985
American College of Education,Indianapolis,IN,46204,3,4,-86.160161,39.76975
South University-Tampa,Tampa,FL,33614-7095,2,1,-82.500357,27.982269
Milan Institute of Cosmetology-San Antonio Military,San Antonio,TX,78221,-2,1,-98.500738,29.358241
Appalachian College of Pharmacy,Oakwood,VA,24631,1,1,-82.006195,37.211629
Paul Mitchell the School-Tampa,Tampa,FL,33625,-2,1,-82.574571,28.06864
Paul Mitchell the School-San Diego,San Diego,CA,92101,-2,1,-117.160838,32.719128
Paul Mitchell the School-Michigan,Sterling Heights,MI,48313,-2,1,-83.028804,42.593439
Paul Mitchell the School-Sherman Oaks,Sherman Oaks,CA,91403,-2,1,-118.467289,34.154315
Paul Mitchell the School-Tysons Corner,McLean,VA,22102,-2,1,-77.222536,38.916957
Fortis College-Columbus,Westerville,OH,43081,2,1,-82.900188,40.083063
Fortis College-Cincinnati,Cincinnati,OH,45246,2,1,-84.444969,39.283312
Blue Cliff College-Alexandria,Alexandria,LA,71301,2,1,-92.475371,31.276699
Strayer University-Delaware,Wilmington,DE,19801,1,1,-75.547914,39.743357
Brite Divinity School,Fort Worth,TX,76129,1,1,-97.359137,32.710145
Strayer University-Alabama,Birmingham,AL,35203,2,2,-86.80574,33.513375
Brown Aveda Institute-Strongsville,Strongsville,OH,44136,-2,1,-81.826226,41.312522
Clary Sage College,Tulsa,OK,74145,2,1,-95.903835,36.117058
Rasmussen University-Wisconsin,Green Bay,WI,54303-2349,2,1,-88.080783,44.526244
Empire Beauty School-Richmond,Richmond,VA,23294,-2,1,-77.550607,37.634052
Empire Beauty School-North Hills,Pittsburgh,PA,15237,-2,1,-80.004389,40.51987
Empire Beauty School-Concord,Concord,NC,28027,-2,1,-80.712059,35.364022
Lexington Healing Arts Academy,Lexington,KY,40503,-2,1,-84.522938,38.013756
Empire Beauty School-Hooksett,Hooksett,NH,3106,-2,1,-71.44412,43.054992
The Institute of Beauty and Wellness,Milwaukee,WI,53202-0000,-2,1,-87.906535,43.03494
Carrington College-Stockton,Stockton,CA,95207-5509,2,1,-121.323199,37.998992
Trend Barber College,Houston,TX,77090,-2,1,-95.435485,29.982205
Euphoria Institute of Beauty Arts & Sciences-Summerlin,Las Vegas,NV,89117,-2,1,-115.298988,36.147552
Columbia Southern University,Orange Beach,AL,36561-9000,4,4,-87.653162,30.329288
Arizona Culinary Institute,Scottsdale,AZ,85259,-2,1,-111.831237,33.581935
Healthcare Career College,Paramount,CA,90723-5258,2,1,-118.149645,33.889719
Coastline Beauty College,Fountain Valley,CA,92708,-2,1,-117.921471,33.728821
Branford Academy of Hair & Cosmetology,Branford,CT,6405,-2,1,-72.8537,41.277187
Academy of Massage and Bodywork,Bear,DE,19701,-2,1,-75.666786,39.628779
Academy for Five Element Acupuncture,Gainesville,FL,32601,1,1,-82.321806,29.650094
Academy of Career Training,Kissimmee,FL,34741,-2,1,-81.439569,28.306092
Miami Regional University,Miami Springs,FL,33166,2,1,-80.267007,25.810667
Paul Mitchell the School-Miami,Miami,FL,33156,-2,-2,-80.313201,25.68739
Aveda Institute-South Florida,Davie,FL,33328,-2,1,-80.251766,26.070447
Aveda Institute-Tallahassee,Clearwater,FL,33761-2622,-2,1,-82.739008,28.029221
Shear Excellence Hair Academy,Tampa,FL,33614,-2,1,-82.503396,28.027145
Carlson College of Massage Therapy,Anamosa,IA,52205,-2,1,-91.356125,42.103743
MyComputerCareer at Indianapolis,Indianapolis,IN,46241,-2,2,-86.25478,39.729314
Z Hair Academy,Overland Park,KS,66223,-2,1,-94.666351,38.867002
DiGrigoli School of Cosmetology,West Springfield,MA,1089,-2,1,-72.630272,42.146311
Elevate Salon Institute,Royal Oak,MI,48073,-2,1,-83.164514,42.525165
Lakewood School of Therapeutic Massage,Port Huron,MI,48060,-2,1,-82.425714,42.97236
The Salon Professional Academy-Battle Creek,Battle Creek,MI,49015,-2,1,-85.224127,42.297776
Trend Setters School,Cape Girardeau,MO,63703-7607,-2,1,-89.556451,37.285482
Academy of Hair Design-Springfield,Springfield,MO,65804,-2,1,-93.261354,37.180584
Corinth Academy of Cosmetology,Corinth,MS,38834,-2,1,-88.520546,34.934036
Southeastern College-Charlotte,Charlotte,NC,28217,2,1,-80.894622,35.152455
Yeshivas Be'er Yitzchok,Elizabeth,NJ,7208,1,1,-74.213255,40.682465
Yeshiva Toras Chaim,Lakewood,NJ,8701,1,1,-74.182143,40.098692
Talmudical Seminary of Bobov,Brooklyn,NY,11219,1,1,-73.995378,40.634485
Center for Allied Health Education,Brooklyn,NY,11229,-2,1,-73.958977,40.608783
Aveda Fredric's Institute-Cincinnati,West Chester,OH,45069,-2,1,-84.361091,39.35541
MyComputerCareer at Columbus,Columbus,OH,43219,2,1,-82.911015,40.047771
CDE Career Institute,Tannersville,PA,18372,-2,1,-75.303611,41.033423
Instituto Educativo Premier,Ponce,PR,730,-2,1,-66.61498,18.010734
Charleston School of Law,Charleston,SC,29403,2,1,-79.937382,32.790942
Elite College of Cosmetology,Lexington,TN,38351,-2,1,-88.409149,35.657876
Manuel and Theresa's School of Hair Design-Bryan,Bryan,TX,77803,-2,1,-96.370573,30.667077
Southwest University at El Paso,El Paso,TX,79925,2,2,-106.411867,31.786859
Paul Mitchell the School-Austin,Austin,TX,78759,-2,1,-97.740293,30.386375
Aveda Institute-Provo,Provo,UT,84601,-2,1,-111.658335,40.236621
Dixie Technical College,Saint George,UT,84770,-2,2,-113.591475,37.098418
Victoria's Academy of Cosmetology,Kennewick,WA,99336,-2,1,-119.118142,46.206992
Paul Mitchell the School-San Antonio,San Antonio,TX,78259,-2,1,-98.465779,29.610611
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,53226,2,2,-88.050983,43.043215
Remington College-Houston Southeast Campus,League City,TX,77573,1,1,-95.118946,29.501276
Remington College-Shreveport Campus,Shreveport,LA,71118,2,1,-93.793578,32.403166
TC Beauty,Johnson City,TN,37601-4626,-2,1,-82.354566,36.32439
Patrick Henry College,Purcellville,VA,20132,1,1,-77.690939,39.138687
The Hair Academy,Bismarck,ND,58501,-2,1,-100.76032,46.805857
Ross Medical Education Center-New Baltimore,New Baltimore,MI,48047-1581,-2,1,-82.751334,42.677429
Ross College-Sylvania,Sylvania,OH,43560-2265,2,2,-83.680536,41.714006
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,959,-2,1,-66.143939,18.374732
Fortis Institute-Nashville,Nashville,TN,37211,2,1,-86.696299,36.084542
ATA College-Cincinnati,Cincinnati,OH,45246,2,1,-84.478867,39.29671
Dental Assistant Pro LLC-Columbus,Westerville,OH,43081,-2,1,-82.932055,40.109752
Dental Assistant Pro-Lebanon,Lebanon,OH,45036,-2,1,-84.190385,39.445803
Elite Welding Academy LLC,Cincinnati,OH,45246-1013,-2,1,-84.468434,39.313738
Galen College of Nursing-Cincinnati,Cincinnati,OH,45241,2,1,-84.365946,39.283693
Strayer University-North Carolina,Greensboro,NC,27407-2638,3,2,-79.882713,36.051694
Strayer University-New Jersey,Piscataway,NJ,8854,2,1,-74.474974,40.554506
International Culinary Arts and Sciences Institute,Chesterland,OH,44026,-2,1,-81.331711,41.523821
Ohio Media School-Columbus,Columbus,OH,43213,-2,1,-82.8554,39.955294
Ohio Medical Career College,Dayton,OH,45417,1,1,-84.195816,39.742339
Chamberlain University-Administrative Office,Chicago,IL,60661,-2,-2,-87.640164,41.880848
Chamberlain University-Illinois,Addison,IL,60101,5,5,-88.038558,41.949727
Chamberlain University-Ohio,Columbus,OH,43219,2,1,-82.912163,40.054055
Chamberlain University-Arizona,Phoenix,AZ,85027,2,1,-112.100547,33.670583
The Salon Professional Academy-Appleton,Appleton,WI,54914,-2,1,-88.457898,44.26019
Milan Institute of Cosmetology-Vacaville,Vacaville,CA,95688,-2,1,-121.960688,38.370051
Milan Institute of Cosmetology-Reno,Reno,NV,89502,-2,1,-119.788456,39.485964
Ottawa University-Online,Overland Park,KS,66211,2,1,-94.635461,38.932055
Paul Mitchell the School-Esani,Roswell,GA,30076,-2,1,-84.333674,34.042224
Paul Mitchell the School-Birmingham,Hoover,AL,35216,-2,1,-86.808018,33.388978
Taft University System,Denver,CO,80222,2,1,-104.941215,39.692532
Mayfield College,Cathedral City,CA,92234,-2,1,-116.458827,33.790822
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,-2,1,-118.444228,34.285043
Borner's Barber College,Los Angeles,CA,90047,-2,1,-118.309291,33.95588
Paul Mitchell the School-Pasadena,Pasadena,CA,91101,-2,1,-118.133403,34.144765
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,94103,-2,1,-122.407083,37.777043
Laurus College,San Luis Obispo,CA,93401,2,2,-120.669519,35.2682
Healing Hands School of Holistic Health,Escondido,CA,92025,-2,1,-117.078694,33.124571
Career Development Institute Inc,Los Angeles,CA,90035,-2,1,-118.386067,34.045817
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,80305,3,3,-105.250075,39.983475
Aspen University,Phoenix,AZ,85040,3,2,-111.981317,33.412164
Institute of Taoist Education and Acupuncture,Louisville,CO,80027,1,1,-105.139431,39.987676
Denver College of Nursing,Denver,CO,80202,2,1,-104.994725,39.75303
Cambridge College of Healthcare & Technology,Delray Beach,FL,33484,2,2,-80.123788,26.438379
Cozmo Beauty School,Bonita Springs,FL,34135,-2,1,-81.7803,26.330412
Celebrity School of Beauty,Miami,FL,33144,-2,1,-80.323333,25.761658
Paul Mitchell the School-Atlanta,Atlanta,GA,30318,-2,1,-84.414967,33.781326
Evans Hairstyling College-Rexburg,Rexburg,ID,83440,-2,1,-111.812372,43.824716
Paul Mitchell the School-Rexburg,Rexburg,ID,83440,-2,1,-111.803591,43.814348
University of Aesthetics & Cosmetology,Chicago,IL,60622-2151,-2,1,-87.671255,41.906602
The University of Aesthetics & Cosmetology,Downers Grove,IL,60515,-2,1,-88.011242,41.79354
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,60656,-2,1,-87.806767,41.97766
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,60139,-2,1,-88.065213,41.90467
Tricoci University of Beauty Culture-Peoria,Peoria,IL,61614,-2,1,-89.601356,40.746311
Tricoci University of Beauty Culture-Rockford,Rockford,IL,61108,-2,1,-89.009435,42.263898
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,-2,1,-77.113268,39.06427
French Academy of Cosmetology,Spring Lake,MI,49456,-2,1,-86.198004,43.075898
Healing Arts Center,St. Louis,MO,63122,-2,1,-90.387718,38.603239
Paul Mitchell the School-Springfield,Springfield,MO,65807,-2,1,-93.31815,37.159135
Urshan Graduate School of Theology,Wentzville,MO,63385,1,1,-90.830252,38.808034
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,39056,-2,1,-90.327649,32.330039
College of Western Idaho,Nampa,ID,83687,4,4,-116.507314,43.614106
Aveda Institute-Chapel Hill,Chapel Hill,NC,27514-7001,-2,1,-79.026769,35.927944
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,28801,1,1,-82.568537,35.606831
Total Image Beauty Academy,Union City,NJ,7087,-2,1,-74.026091,40.77578
Jersey College,Teterboro,NJ,7608,3,2,-74.057936,40.862137
American Institute of Medical Sciences & Education,Piscataway,NJ,8854,-2,1,-74.437251,40.56114
Casal Institute of Nevada,Las Vegas,NV,89119,-2,1,-115.117387,36.101143
Career School of NY,Staten Island,NY,10301,-2,1,-74.078168,40.641352
Yeshiva of Machzikai Hadas,Brooklyn,NY,11219-1408,1,1,-73.990592,40.636104
Aveda Institute-Columbus,Columbus,OH,43214,-2,1,-83.043021,40.062719
Paul Mitchell the School-Cincinnati,Cincinnati,OH,45241,-2,1,-84.392501,39.291618
Hands on Therapy,Mesquite,TX,75149,-2,1,-96.60627,32.787719
MediaTech Institute-Dallas,Dallas,TX,75234,1,1,-96.902721,32.92427
Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,78259-2792,-2,1,-98.452126,29.637354
Skin Science Institute,Sandy,UT,84094,-2,1,-111.851628,40.564549
Pacific Northwest University of Health Sciences,Yakima,WA,98901,2,1,-120.45598,46.602872
The Chicago School at Anaheim,Anaheim,CA,92806,2,1,-117.882312,33.804604
Fortis College-Dothan,Dothan,AL,36303,-2,1,-85.37446,31.243014
Fortis Institute-Pensacola,Pensacola,FL,32514,2,1,-87.183112,30.510415
Fortis College-Montgomery,Montgomery,AL,36109,-2,1,-86.252163,32.384006
Woodland Community College,Woodland,CA,95776,3,2,-121.73533,38.660392
Fortis Institute-Birmingham,Birmingham,AL,35211,2,1,-86.862659,33.442921
The Chicago School at Los Angeles,Los Angeles,CA,90017,3,2,-118.257045,34.049478
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606,-2,1,-88.112324,30.650045
Studio Academy of Beauty,Chandler,AZ,85224,-2,1,-111.860316,33.314894
California Nurses Educational Institute,Rancho Mirage,CA,92270,-2,1,-116.393371,33.80042
Paul Mitchell the School-Sacramento,Sacramento,CA,95825,-2,1,-121.41594,38.594752
Providence Christian College,Pasadena,CA,91101,1,1,-118.141062,34.149327
Oxford Academy of Hair Design Inc,Seymour,CT,6483,-2,1,-73.061063,41.397798
Institute of World Politics,Washington,DC,20036,1,1,-77.036112,38.910537
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064-9997,1,1,-76.998606,38.933246
Medical Institute of Palm Beach,Greenacres,FL,33463,-2,1,-80.134959,26.620478
Oliver Finley Academy of Cosmetology,Boise,ID,83714,-2,1,-116.281478,43.667102
National Career College,Panorama City,CA,91402,2,1,-118.446211,34.22245
The Aveda Institute of Beauty and Wellness Chicago,Chicago,IL,60657,-2,1,-87.645838,41.933493
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,60048,-2,1,-87.942702,42.28167
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,60455,-2,1,-87.80309,41.734829
The Temple-A Paul Mitchell Partner School,Frederick,MD,21701,-2,1,-77.411651,39.415249
Center for Massage,Asheville,NC,28801,-2,1,-82.55114,35.593919
The Academy of Hair Design LLC,Oklahoma City,OK,73134-8055,-2,1,-97.557189,35.612955
COLLECTIV Academy-Cranston,Cranston,RI,2920,-2,1,-71.478386,41.734598
South Texas Training Center,Pharr,TX,78577,-2,1,-98.177752,26.211808
Columbia College,Vienna,VA,22182,1,1,-77.249152,38.928425
Vermont College of Fine Arts,Montpelier,VT,5602,1,1,-72.567616,44.25521
Advanced Welding Institute,South Burlington,VT,5403,-2,1,-73.139437,44.45588
Paul Mitchell the School-Memphis,Memphis,TN,38111,-2,1,-89.947956,35.129595
Pima Medical Institute-East Valley,Mesa,AZ,85209,2,1,-111.689497,33.376378
Paul Mitchell the School-Cleveland,Twinsburg,OH,44087,-2,1,-81.463033,41.330927
Paul Mitchell the School-Columbus,Columbus,OH,43231,-2,1,-82.938765,40.059575
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,55432,-2,1,-93.26237,45.117185
MediaTech Institute-Houston,Houston,TX,77042,1,1,-95.568341,29.724809
Miller-Motte College-Raleigh,Raleigh,NC,27604-6072,1,1,-78.585676,35.834569
Lamson Institute,San Antonio,TX,78238,-2,1,-98.607504,29.481426
College of Hair Design-East Campus,Lincoln,NE,68526,-2,1,-96.596462,40.732974
Fortis College-Salt Lake City,Salt Lake City,UT,84107,2,1,-111.870502,40.685819
Polytechnic University of Puerto Rico-Miami,Miami,FL,33166,1,1,-80.328482,25.80915
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,32825,1,1,-81.253943,28.55158
Ross Medical Education Center-Fort Wayne,Fort Wayne,IN,46805-1046,-2,1,-85.14454,41.115114
Ross Medical Education Center-Battle Creek,Battle Creek,MI,49015-9393,-2,1,-85.20031,42.247801
Geisinger Commonwealth School of Medicine,Scranton,PA,18509,2,1,-75.655478,41.413415
"Josef's School of Hair, Skin & Body-Fargo",Fargo,ND,58103,-2,1,-96.83183,46.86216
Miller-Motte College-Berks Technical Institute-Allentown,Allentown,PA,18109,1,1,-75.448981,40.64006
Salon Success Academy-Fontana,Fontana,CA,92335,-2,1,-117.437904,34.099087
Salon Success Academy-Redlands,Redlands,CA,92373,-2,1,-117.218933,34.062342
Strayer University-West Virginia,Scott Depot,WV,25560,1,1,-81.92619,38.454588
Paul Mitchell the School-Baton Rouge,Baton Rouge,LA,70816,-2,1,-91.044491,30.41107
San Joaquin Valley College-Hesperia,Hesperia,CA,92344-8086,2,1,-117.383116,34.420693
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,78521,-2,1,-97.502052,25.944046
Miller-Motte College-STVT-Corpus Christi,Corpus Christi,TX,78416,-2,1,-97.433269,27.739649
University of Minnesota-Rochester,Rochester,MN,55904,2,1,-92.463471,44.022339
Health And Style Institute,Greensboro,NC,27407,-2,2,-79.840799,36.037762
CBT Technology Institute-Cutler Bay,Cutler Bay,FL,33157,-2,1,-80.356565,25.590468
Capri Beauty College,New Lenox,IL,60451,-2,1,-87.927816,41.509958
Milan Institute-Bakersfield,Bakersfield,CA,93301,-2,1,-119.023088,35.385513
Homestead Schools,Torrance,CA,90505,-2,1,-118.35009,33.809096
Carrington College-Las Vegas,Las Vegas,NV,89119,2,1,-115.118231,36.08486
Carrington College-Reno,Reno,NV,89511,2,1,-119.786947,39.463165
Chamberlain University-Florida,Jacksonville,FL,32256,2,1,-81.586421,30.243517
Washington Barber College Inc,Little Rock,AR,72209-3820,-2,1,-92.335352,34.69065
InterCoast Colleges-Rancho Cordova,Rancho Cordova,CA,95827,-2,1,-121.334243,38.561309
Horizon University,Indianapolis,IN,46236-2622,1,1,-85.986809,39.894654
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670,-2,1,-118.041477,33.916443
Academy for Jewish Religion California,Los Angeles,CA,90045,1,1,-118.415744,33.97085
Angeles College,Los Angeles,CA,90010,1,1,-118.29903,34.061223
Angeles Institute,ARTESIA,CA,90701-2713,-2,1,-118.080741,33.875772
Paul Mitchell the School-Temecula,Temecula,CA,92591,-2,1,-117.146674,33.507316
TIGI Hairdressing Academy Guilford,Guilford,CT,6437,-2,1,-72.677612,41.28773
International Institute of Cosmetology,Wethersfield,CT,6109,-2,1,-72.661782,41.707932
Florida School of Traditional Midwifery,Gainesville,FL,32601,-2,1,-82.31585,29.652269
Emerald Coast Technical College,DeFuniak Springs,FL,32433,-2,1,-86.128061,30.73209
Immokalee Technical College,Immokalee,FL,34142,-2,1,-81.425148,26.426526
American Academy of Cosmetology,Orange Park,FL,32065,-2,1,-81.798803,30.123757
University of Fort Lauderdale,Lauderhill,FL,33313,1,1,-80.204938,26.147098
Aviation Institute of Maintenance-Orlando,Casselberry,FL,32707,-2,1,-81.334196,28.680653
Summit Salon Academy,Tampa,FL,33624,-2,1,-82.525411,28.051825
Summit Salon Academy-Gainesville,Gainesville,FL,32607,-2,1,-82.416921,29.654808
Tenaj Salon Institute,The Villages,FL,32162,-2,1,-82.028094,28.929944
Profile Institute of Barber-Styling,Atlanta,GA,30315,-2,1,-84.392992,33.680654
Keune Academy by 124,Lawrenceville,GA,30043,-2,1,-84.02253,33.96488
Pacific Rim Christian University,Honolulu,HI,96819-2228,1,1,-157.888379,21.328198
Paul Mitchell the School-Twin Falls,TWIN FALLS,ID,83301,-2,1,-114.469533,42.555761
Ambria College of Nursing,Hoffman Estates,IL,60192,1,1,-88.2109,42.075628
Midwestern Career College,Chicago,IL,60601,2,1,-87.632009,41.886233
Paul Mitchell the School-Normal,Normal,IL,61761,-2,1,-88.959619,40.50938
Aveda Fredric's Institute-Indianapolis,Carmel,IN,46032,-2,1,-86.117678,39.959878
Summit Salon Academy,Anderson,IN,46013,-2,1,-85.654184,40.063021
Eric Fisher Academy,Wichita,KS,67212,-2,1,-97.422011,37.693713
My Le's Beauty College,Gretna,LA,70056,-2,1,-90.029931,29.902428
Blackstone Valley Vocational Regional School District,Upton,MA,01568-1499,-2,1,-71.616243,42.16382
Southern Worcester County Regional Vocational School District,Charlton,MA,01507-1331,-2,1,-71.957564,42.133623
L'esprit Academy,Canton,MI,48187-3669,-2,1,-83.457386,42.321904
Marketti Academy of Cosmetology,Waterford,MI,48329,-2,1,-83.374733,42.683352
Avalon School of Cosmetology,Worthington,MN,56187,-2,1,-95.602503,43.631842
City Vision University,Kansas City,MO,64106-3028,1,1,-94.569475,39.101164
Montana Academy of Salons,Great Falls,MT,59405,-2,1,-111.303922,47.49941
National Career Institute,East Orange,NJ,7018,-2,1,-74.222091,40.76137
Paul Mitchell the School-Albuquerque,Albuquerque,NM,87110,-2,1,-106.566537,35.102306
International Academy of Style,Reno,NV,89502-1559,-2,1,-119.783208,39.516281
EDP School,Brooklyn,NY,11235,-2,1,-73.952901,40.58605
New York Medical Career Training Center,Flushing,NY,11354,-2,1,-73.829753,40.7608
Institute of Culinary Education,New York,NY,10281,-2,1,-74.015637,40.712449
The Salon Professional Academy-Tonawanda,Tonawanda,NY,14150,-2,1,-78.824364,42.981584
Paul Mitchell the School-NYC,Staten Island,NY,10306,-2,1,-74.114517,40.573227
Four County Career Center,Archbold,OH,43502,-2,1,-84.303115,41.452808
